Dataset,Metric,Comparison,Test Type,P-value,Significance,Mean_Diff (OPNs - Base),95% CI Lower,95% CI Upper
saheart,F1,OPNs vs TDEC,Paired t-test,0.004740236562691713,** (p<0.01),0.08230035686918448,0.032308509525598564,0.13229220421277038
saheart,F1,OPNs vs ZEUS,Wilcoxon test,1.0,ns (Not Significant),0.02246407526918447,-0.06257260625288665,0.10750075679125558
saheart,F1,OPNs vs IDC,Paired t-test,0.00011750602842567336,** (p<0.01),-0.0758867249805649,-0.10248284101152123,-0.04929060894960856
heart,F1,OPNs vs EDK,Wilcoxon test,0.001953125,** (p<0.01),0.4923106701727731,0.25518033027402864,0.7294410100715175
heart,F1,OPNs vs MDK,Wilcoxon test,0.001953125,** (p<0.01),0.3576780758247569,0.10440064928970244,0.6109555023598114
heart,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.2350961818259682,0.024107946167392258,0.44608441748454414
heart,F1,OPNs vs KKM(p),Wilcoxon test,0.001953125,** (p<0.01),0.020631160016475282,0.01631661129119837,0.024945708741752195
heart,F1,OPNs vs KKM(l),Wilcoxon test,0.001953125,** (p<0.01),0.014458264673104626,0.010028932923100843,0.01888759642310841
heart,F1,OPNs vs KKM(r),Wilcoxon test,0.001953125,** (p<0.01),0.016734177366784696,0.011090789717426427,0.022377565016142964
heart,F1,OPNs vs TDEC,Paired t-test,3.283989590167213e-06,** (p<0.01),0.18649759756609022,0.14474128631409533,0.2282539088180851
heart,F1,OPNs vs ZEUS,Paired t-test,0.00016521405054940186,** (p<0.01),0.22135307876609017,0.14016263235968768,0.30254352517249267
heart,F1,OPNs vs IDC,Paired t-test,0.010134766849254385,* (p<0.05),0.05555222348969043,0.01678344620420228,0.09432100077517858
cleve,F1,OPNs vs EDK,Wilcoxon test,0.0703125,ns (Not Significant),0.24914066107980154,0.019570806086878445,0.47871051607272463
cleve,F1,OPNs vs MDK,Wilcoxon test,0.185546875,ns (Not Significant),0.24864374315847143,0.01651726294310657,0.4807702233738363
cleve,F1,OPNs vs CDK,Wilcoxon test,0.001953125,** (p<0.01),0.37073046427232365,0.14639392770461065,0.5950670008400366
cleve,F1,OPNs vs KKM(p),Paired t-test,0.09958813008423248,ns (Not Significant),0.004581137110218525,-0.0010642247440024932,0.010226498964439543
cleve,F1,OPNs vs KKM(l),Paired t-test,0.22794123833660584,ns (Not Significant),0.0031990331448830678,-0.002394242016534742,0.008792308306300877
cleve,F1,OPNs vs KKM(r),Paired t-test,0.10122235793344919,ns (Not Significant),0.004785724623399134,-0.0011448653284651172,0.010716314575263387
cleve,F1,OPNs vs TDEC,Paired t-test,4.195676176953786e-05,** (p<0.01),0.16063140524493535,0.11138740635523726,0.20987540413463346
cleve,F1,OPNs vs ZEUS,Paired t-test,0.007092309756116615,** (p<0.01),0.08319315854493539,0.02889688219428043,0.13748943489559035
cleve,F1,OPNs vs IDC,Paired t-test,0.0700727586916123,ns (Not Significant),-0.023906766924843594,-0.05022665326603818,0.0024131194163509936
cleveland,F1,OPNs vs EDK,Paired t-test,0.0003203921157470739,** (p<0.01),0.1392847402118507,0.08335124630667531,0.19521823411702607
cleveland,F1,OPNs vs MDK,Paired t-test,0.001882036880832426,** (p<0.01),0.11892229147841107,0.0569121149495114,0.18093246800731075
cleveland,F1,OPNs vs CDK,Paired t-test,0.0001497345433626325,** (p<0.01),0.16466230311164248,0.1050582369011698,0.22426636932211516
cleveland,F1,OPNs vs KKM(p),Paired t-test,0.32865235239993523,ns (Not Significant),0.01270571105272236,-0.01512385747778585,0.04053527958323057
